fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001394,,,Asbestos Sample Description,,,,,,,Solid
-1,K22-De0001393,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,Weathered fibre cement fragments and loose fibre bundles.,,,,Solid
-1,K22-De0001393,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Chrysotile (White Asbestos) detected),,,Detected,Solid
-1,K22-De0001393,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,0.001,0.0010,,,Solid
-1,K22-De0001393,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001393,Metals,,Arsenic,,,5.5,5.5000,,,Solid
-1,K22-De0001393,Metals,,Lead,,,21,21.0000,,,Solid
-1,K22-De0001393,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001393,Metals,,Copper,,,,,,,Solid
-1,K22-De0001393,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001393,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001393,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001393,Heavy Metals,,Chromium,,,90,90.0000,,,Solid
-1,K22-De0001393,Heavy Metals,,Copper,,,51,51.0000,,,Solid
-1,K22-De0001393,Heavy Metals,,Cadmium,,,0.24,0.2400,,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) >10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,70,70.0000,,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) <10 mm,,Total FA,,,0.00822,0.0082,,,Solid
-1,K22-De0001393,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,0.0012,0.0012,,,Solid
-1,K22-De0001393,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,75.99,75.9900,,,Solid
-1,K22-De0001393,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,244.1,244.1000,,,Solid
-1,K22-De0001393,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,140.75,140.7500,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,Yes,,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,No trace asbestos detected.,,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Sample Description,,,Fine grained soil and rocks,,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,<0.01,0.0100,<,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Received Weight,,,633.86,633.8600,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,472.52,472.5200,,,Solid
-1,K22-De0001393,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,472.52,472.5200,,,Solid
-1,K22-De0001393,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001393,Asbestos Fines (AF) < 10 mm,,Total AF,,,0.00112,0.0011,,,Solid
-1,K22-De0001393,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,<0.1,0.1000,<,,Solid
-1,K22-De0001393,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001393,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001393,,,% Moisture,,,25,25.0000,,,Solid
-1,K22-De0001393,,,Asbestos Sample Description,,,,,,,Solid
-1,K22-De0001392,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,Loose fibre bundles.,,,,Solid
-1,K22-De0001392,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Chrysotile (White Asbestos) detected),,,Detected,Solid
-1,K22-De0001392,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,<0.001,0.0010,<,,Solid
-1,K22-De0001392,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001392,Metals,,Arsenic,,,4.9,4.9000,,,Solid
-1,K22-De0001392,Metals,,Lead,,,20,20.0000,,,Solid
-1,K22-De0001392,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001392,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001392,Metals,,Copper,,,,,,,Solid
