Lab sample ID,,K22-De0001355,K22-De0001356,K22-De0001357,K22-De0001358,K22-De0001359,K22-De0001360,K22-De0001361,K22-De0001362,K22-De0001363,K22-De0001364,K22-De0001365,K22-De0001366,K22-De0001367,K22-De0001368,K22-De0001369,K22-De0001370,K22-De0001371,K22-De0001372,K22-De0001373,K22-De0001374,K22-De0001375,K22-De0001376,K22-De0001377,K22-De0001378,K22-De0001379,K22-De0001380,K22-De0001381,K22-De0001382,K22-De0001383,K22-De0001384,K22-De0001385,K22-De0001386,K22-De0001387,K22-De0001388,K22-De0001389,K22-De0001390,K22-De0001391,K22-De0001392,K22-De0001393,K22-De0001394,K22-De0001395,K22-De0001396,K22-De0001397

Sample location,,13ASH_CHA01_0.0,13ASH_CHA02_0.0,13ASH_CHA03_0.0,13ASH_CHA04_0.0,13ASH_CHA05_0.0,13ASH_CHA06_0.0,15ASH_CHA07_0.0,15ASH_CHA08_0.0,15ASH_CHA09_0.0,15ASH_CHA10_0.0,15ASH_CHA11_0.0,15ASH_CHA12_0.0,13ASH_DUP01,13ASH_CURT_CURTILAGE 1&2,13ASH_CURT01_0.0,13ASH_CURT02_0.0,15ASH_CURT_CURTILAGE 1&2,15ASH_CURT01_0.0,15ASH_CURT02_0.0,13ASH_CHA01_0.3,13ASH_CHA01_0.5,13ASH_CHA02_0.3,13ASH_CHA02_0.5,13ASH_CHA03_0.3,13ASH_CHA03_0.5,13ASH_CHA04_0.3,13ASH_CHA04_0.5,13ASH_CHA05_0.3,13ASH_CHA05_0.5,13ASH_CHA06_0.3,13ASH_CHA06_0.5,15ASH_CHA07_0.3,15ASH_CHA07_0.5,15ASH_CHA08_0.3,15ASH_CHA08_0.5,15ASH_CHA09_0.3,15ASH_CHA09_0.5,15ASH_CHA10_0.3,15ASH_CHA10_0.5,15ASH_CHA11_0.3,15ASH_CHA11_0.5,15ASH_CHA12_0.3,15ASH_CHA12_0.5
Trace Analysis,,,,,No trace asbestos detected.,,No trace asbestos detected.,,No trace asbestos detected.,No trace asbestos detected.,No trace asbestos detected.,,No trace asbestos detected.,,,No trace asbestos detected.,No trace asbestos detected.,,,,,,,,,,No trace asbestos detected.,No trace asbestos detected.,,,No trace asbestos detected.,No trace asbestos detected.,,,No trace asbestos detected.,No trace asbestos detected.,No trace asbestos detected.,No trace asbestos detected.,No trace asbestos detected.,No trace asbestos detected.,,,No trace asbestos detected.,No trace asbestos detected.

Asbestos in Soils (NZ GAMAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Weight (>10 mm),,,,,22.61,,0,,6.77,10.11,17.35,,12.84,,,7.84,15.22,,,,,,,,,,19.88,33.54,,,12.59,44.15,,,89.19,0,34.68,30.05,25.74,75.99,,,16.09,0

Weight (<10 mm >2 mm),,,,,230.75,,229.7,,193,221.61,213.92,,231.52,,,226.19,183.49,,,,,,,,,,230.78,234.43,,,250.37,278.31,,,246.05,183.31,232.87,312,196.6,244.1,,,258.59,220.15

Weight (<2 mm),,,,,133.04,,127.84,,159.49,220.44,232.69,,174.33,,,231.58,273.73,,,,,,,,,,180.44,178.94,,,169.43,155.55,,,171.17,215.56,208.92,149.53,274.97,140.75,,,192.02,153.37

Asbestos Containing Materials (ACM) >10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total ACM (> 10mm),,,,,4.9,,< 0.1,,< 0.1,3.7,< 0.1,,4.9,,,< 0.1,1.2,,,,,,,,,,< 0.1,< 0.1,,,< 0.1,< 0.1,,,< 0.1,< 0.1,12.4,< 0.1,< 0.1,< 0.1,,,< 0.1,< 0.1

Fibrous Asbestos (FA) >10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total FA,,,,,< 0.00001,,< 0.00001,,< 0.00001,0.11584,< 0.00001,,1.44125,,,< 0.00001,0.11049,,,,,,,,,,< 0.00001,< 0.00001,,,< 0.00001,< 0.00001,,,< 0.00001,< 0.00001,< 0.00001,< 0.00001,< 0.00001,< 0.00001,,,< 0.00001,< 0.00001

FA % asbestos (weighted average),,,,,N/A,,N/A,,N/A,70,N/A,,50,,,N/A,40,,,,,,,,,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A

FA Asbestos in Soil,,,,,< 0.001,,< 0.001,,< 0.001,0.016,< 0.001,,0.168,,,< 0.001,0.009,,,,,,,,,,< 0.001,< 0.001,,,< 0.001,< 0.001,,,< 0.001,< 0.001,< 0.001,< 0.001,< 0.001,< 0.001,,,< 0.001,< 0.001

Fibrous Asbestos (FA) <10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total FA,,,,,0.06618,,< 0.00001,,< 0.00001,0.06019,0.03971,,0.09389,,,< 0.00001,< 0.00001,,,,,,,,,,< 0.00001,< 0.00001,,,< 0.00001,< 0.00001,,,< 0.00001,< 0.00001,2.35736,< 0.00001,< 0.00001,0.00822,,,< 0.00001,< 0.00001

FA % asbestos (weighted average),,,,,80,,N/A,,N/A,80,80,,80,,,N/A,N/A,,,,,,,,,,N/A,N/A,,,N/A,N/A,,,N/A,N/A,50,N/A,N/A,70,,,N/A,N/A

FA Asbestos in Soil,,,,,0.013,,< 0.001,,< 0.001,0.01,0.007,,0.018,,,< 0.001,< 0.001,,,,,,,,,,< 0.001,< 0.001,,,< 0.001,< 0.001,,,< 0.001,< 0.001,0.241,< 0.001,< 0.001,0.0012,,,< 0.001,< 0.001

Asbestos Fines (AF) < 10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Total AF,,,,,0.02563,,0.01538,,0.00066,0.06681,0.02035,,0.2461,,,0.01184,0.0459,,,,,,,,,,0.01182,0.00126,,,0.01692,< 0.00001,,,0.00861,< 0.00001,0.30624,< 0.00001,0.00438,0.00112,,,< 0.00001,< 0.00001

AF Asbestos in Soil,,,,,0.006,,0.004,,< 0.001,0.014,0.004,,0.057,,,0.002,0.01,,,,,,,,,,0.003,< 0.001,,,0.004,< 0.001,,,0.002,< 0.001,0.06,< 0.001,< 0.001,< 0.001,,,< 0.001,< 0.001

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Asbestos Sample Description,,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks,,Fine grained soil and rocks,Fine grained soil and rocks,,,,,,,,,,,,,,,,,,,,,,,,

